Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"0.59600","0.71935","-0.01611"
"0.59700","0.72060","-0.01606"
"0.59800","0.72184","-0.01584"
"0.59900","0.72309","-0.01512"
"0.60000","0.72433","-0.01401"
"0.60100","0.72557","-0.01289"
"0.60200","0.72682","-0.01198"
"0.60300","0.72807","-0.01136"
"0.60400","0.72931","-0.01117"
"0.60500","0.73056","-0.01146"
"0.60600","0.73181","-0.01194"
"0.60700","0.73305","-0.01231"
"0.60800","0.73430","-0.01264"
"0.60900","0.73555","-0.01306"
"0.61000","0.73679","-0.01340"
"0.61100","0.73804","-0.01341"
"0.61200","0.73929","-0.01312"
"0.61300","0.74054","-0.01269"
"0.61400","0.74179","-0.01229"
"0.61500","0.74303","-0.01199"
"0.61600","0.74428","-0.01199"
"0.61700","0.74553","-0.01247"
"0.61800","0.74678","-0.01342"
"0.61900","0.74803","-0.01459"
"0.62000","0.74928","-0.01575"
"0.62100","0.75052","-0.01668"
"0.62200","0.75177","-0.01720"
"0.62300","0.75302","-0.01732"
"0.62400","0.75427","-0.01739"
"0.62500","0.75552","-0.01771"
"0.62600","0.75677","-0.01792"
"0.62700","0.75802","-0.01752"
"0.62800","0.75927","-0.01679"
"0.62900","0.76052","-0.01654"
"0.63000","0.76177","-0.01703"
"0.63100","0.76302","-0.01772"
"0.63200","0.76428","-0.01800"
"0.63300","0.76553","-0.01786"
"0.63400","0.76678","-0.01754"
"0.63500","0.76803","-0.01706"
"0.63600","0.76928","-0.01636"
"0.63700","0.77054","-0.01570"
"0.63800","0.77179","-0.01539"
"0.63900","0.77304","-0.01536"
"0.64000","0.77430","-0.01538"
"0.64100","0.77555","-0.01546"
"0.64200","0.77680","-0.01580"
"0.64300","0.77805","-0.01645"
"0.64400","0.77930","-0.01730"
"0.64500","0.78056","-0.01809"
"0.64600","0.78181","-0.01851"
"0.64700","0.78306","-0.01837"
"0.64800","0.78431","-0.01774"
"0.64900","0.78556","-0.01687"
"0.65000","0.78681","-0.01602"
"0.65100","0.78806","-0.01532"
"0.65200","0.78931","-0.01486"
"0.65300","0.79056","-0.01469"
"0.65400","0.79181","-0.01480"
"0.65500","0.79306","-0.01520"
"0.65600","0.79431","-0.01582"
"0.65700","0.79556","-0.01637"
"0.65800","0.79681","-0.01631"
"0.65900","0.79806","-0.01537"
"0.66000","0.79931","-0.01393"
"0.66100","0.80056","-0.01262"
"0.66200","0.80181","-0.01167"
"0.66300","0.80306","-0.01093"
"0.66400","0.80431","-0.01037"
"0.66500","0.80556","-0.01016"
"0.66600","0.80681","-0.01036"
"0.66700","0.80807","-0.01081"
"0.66800","0.80932","-0.01142"
"0.66900","0.81057","-0.01218"
"0.67000","0.81182","-0.01284"
"0.67100","0.81307","-0.01304"
"0.67200","0.81433","-0.01275"
"0.67300","0.81558","-0.01232"
"0.67400","0.81683","-0.01201"
"0.67500","0.81808","-0.01198"
"0.67600","0.81934","-0.01250"
"0.67700","0.82059","-0.01384"
"0.67800","0.82184","-0.01562"
"0.67900","0.82309","-0.01708"
"0.68000","0.82434","-0.01790"
"0.68100","0.82560","-0.01849"
"0.68200","0.82685","-0.01931"
"0.68300","0.82810","-0.02019"
"0.68400","0.82935","-0.02077"
"0.68500","0.83060","-0.02095"
"0.68600","0.83186","-0.02086"
"0.68700","0.83311","-0.02061"
"0.68800","0.83436","-0.02037"
"0.68900","0.83561","-0.02049"
"0.69000","0.83686","-0.02107"
"0.69100","0.83811","-0.02167"
