Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"51.60000","85.96564","4.86997"
"51.70000","86.13241","4.90767"
"51.80000","86.29922","4.94917"
"51.90000","86.46597","5.01650"
"52.00000","86.63251","5.07036"
"52.10000","86.79917","5.16756"
"52.20000","86.96587","5.24695"
"52.30000","87.13246","5.34466"
"52.40000","87.29919","5.44921"
"52.50000","87.46571","5.52760"
"52.60000","87.63231","5.62296"
"52.70000","87.79916","5.69835"
"52.80000","87.96597","5.77110"
"52.90000","88.13261","5.82070"
"53.00000","88.29913","5.84034"
"53.10000","88.46585","5.91212"
"53.20000","88.63242","5.96065"
"53.30000","88.79906","6.00868"
"53.40000","88.96577","6.08465"
"53.50000","89.13236","6.15937"
"53.60000","89.29911","6.24327"
"53.70000","89.46606","6.34004"
"53.80000","89.63262","6.42343"
"53.90000","89.79929","6.52481"
"54.00000","89.96590","6.62625"
"54.02100","90.00097","6.64405"
